Question1,Question2,Similarity
anyone knows buy water bong heard souq waqif dont guess exactly much cost possible,hopefully rumors 've heard certain mineral water brands pulled shelves kind check government found standards contain contaminants 1 heard coz really want know drinking reason drink alcohol though,Irrelevant
anyone knows buy water bong heard souq waqif dont guess exactly much cost possible,hi everyone quite partial bit shisha bought seem find flavours - apple/2-apple mint cherry melon grape anyone suggest somewhere sells greater range ones thanks,Irrelevant
anyone knows buy water bong heard souq waqif dont guess exactly much cost possible,anyone recently experienced outrageously high kaharamma bill al waab area talking qr 5000/- compared monthly usual qr 600/- called kaharamma indicated coukd error,Irrelevant
anyone knows buy water bong heard souq waqif dont guess exactly much cost possible,offered job qatar salariy details total salary allowance qr15 000.00 may someone advice cost living qatar since idea please indicate follows 1 apt rental per month 2 price food groceries 3 utility fees 4 car rental per month 5 school fees 9 years old kid 4 years old 6 others necessary thank,Irrelevant
anyone knows buy water bong heard souq waqif dont guess exactly much cost possible,sorry folks..i confess hijacking/sideswiping thread two perhaps three used posting another website allow get really great discussions way n't know upset folks 'll conduct guidelines site apologize excuse new,Irrelevant
anyone knows buy water bong heard souq waqif dont guess exactly much cost possible,feeling 80 % qatarliving users r philipenos anyway.. fellow sudanese.. join group facebook.. http //www.facebook.com/group.php gid=2258607964 http //www.facebook.com/group.php gid=2258607964 thanks..,Irrelevant
anyone knows buy water bong heard souq waqif dont guess exactly much cost possible,hearing little angel voice phone brings smile face turn -,Irrelevant
anyone knows buy water bong heard souq waqif dont guess exactly much cost possible,27k including housing transportation good salary single live save thx,Irrelevant
anyone knows buy water bong heard souq waqif dont guess exactly much cost possible,hi considering working qatar foundation wondering average salaries individuals working working hours like thanks hope get responses soon,Irrelevant
anyone knows buy water bong heard souq waqif dont guess exactly much cost possible,aside pearl lounge qube outlets doha house music kind electronic dance music house music always seemed bring together international community 've watching video sensation wicked wonderland tour - looks amazing - gives itch cool house music venue.. celebrate life -r,Irrelevant
`` `` forgot take international driving license departure qatar flight license use drive qatar yes anyone name good rent car company qatar '' '' '',forgot take international driving license departure qatar flight license use drive qatar yes anyone name good rent car company qatar,PerfectMatch
`` `` forgot take international driving license departure qatar flight license use drive qatar yes anyone name good rent car company qatar '' '' '',anyone tell learn fly qatar,Relevant
`` `` forgot take international driving license departure qatar flight license use drive qatar yes anyone name good rent car company qatar '' '' '',hello flying school doha female also take lisense acutally took cpl / ir 1997. expired 2004 need renew thru giving paper flight check problem dont enough time pakistan..can doha thr facility women though hobby want keep lisense updated.iwould appreciate help thx,Irrelevant
`` `` forgot take international driving license departure qatar flight license use drive qatar yes anyone name good rent car company qatar '' '' '',credential verification stage stage right,Irrelevant
`` `` forgot take international driving license departure qatar flight license use drive qatar yes anyone name good rent car company qatar '' '' '',visa issued agency told going authenticate embassy philippines long process visa stamp next process thanks,Irrelevant
`` `` forgot take international driving license departure qatar flight license use drive qatar yes anyone name good rent car company qatar '' '' '',hi called interview position aircraft engineer qatar airways anyone similiar position know much offering,Irrelevant
`` `` forgot take international driving license departure qatar flight license use drive qatar yes anyone name good rent car company qatar '' '' '',hi everybody know travel agencies qatar,Irrelevant
`` `` forgot take international driving license departure qatar flight license use drive qatar yes anyone name good rent car company qatar '' '' '',sponsor cancel visa even without passport thank guys,Irrelevant
`` `` forgot take international driving license departure qatar flight license use drive qatar yes anyone name good rent car company qatar '' '' '',hello wan na ask help visa expired last january 2010 waited 8 months noc cancellation sponsor need beg pay 5000 qr wan na go back philippines know need pay penalty dont know sponsor didnt mind take money dont speak arabic dont know regarding please help dont want tnt,Irrelevant
morning question ear true someone invites house sorry someone puts spread put food plate eat matter know coffee big thing offered coffee im supposed drink hate coffee bad,noticed many people respect local qataries respect country come without idea culture religion think much salary take qataries feel worried thousands outlandish people try open others respect culture land u think..,Irrelevant
morning question ear true someone invites house sorry someone puts spread put food plate eat matter know coffee big thing offered coffee im supposed drink hate coffee bad,supplements n't get kind shape naturaslly..some days eat supplements chicken fact got done taking daily regimen full restrictions type products hgh,Irrelevant
morning question ear true someone invites house sorry someone puts spread put food plate eat matter know coffee big thing offered coffee im supposed drink hate coffee bad,hello moving qatar august need advice sending 2 separate household goods shipments comments documents required send shipment required receive shipment information household shipments regulations would appreciated thanks fitri,Irrelevant
morning question ear true someone invites house sorry someone puts spread put food plate eat matter know coffee big thing offered coffee im supposed drink hate coffee bad,worst going happen continue wear hot summer months 25 coming states n't really feel like overhauling summer wardrobe iwas told wear long pants long sleeves go town crazy n't get 110 degrees meeannn.. come comments advice thanks,Irrelevant
morning question ear true someone invites house sorry someone puts spread put food plate eat matter know coffee big thing offered coffee im supposed drink hate coffee bad,invited qatari wedding thursday apart knowing anyone husband men party women party - state obvious idea expect customs wear bring gift happens wedding honored invited terrified making fool self,Relevant
morning question ear true someone invites house sorry someone puts spread put food plate eat matter know coffee big thing offered coffee im supposed drink hate coffee bad,getting stares lately come realize dresses wear formals trousers office tend wear skirts home shopping right ok wear prohibited,Irrelevant
morning question ear true someone invites house sorry someone puts spread put food plate eat matter know coffee big thing offered coffee im supposed drink hate coffee bad,using nissan altima past two years planning settle back india possible ship car india advisable one earlier,Irrelevant
morning question ear true someone invites house sorry someone puts spread put food plate eat matter know coffee big thing offered coffee im supposed drink hate coffee bad,please anyone spinney choitrams,Irrelevant
morning question ear true someone invites house sorry someone puts spread put food plate eat matter know coffee big thing offered coffee im supposed drink hate coffee bad,family moving doha august want bring 2 jeeps us would like drive dubai doha anyone tell procedure paperwork needed also drive wife car friend drive finally bring personal effects us car anyone help questions would great,Irrelevant
hi one ladies ooops ive put two capital letters post wife sure think wear pantyhose knows hot place ok read online ok wear work true ok wear malls oops capital letters,family moving qatar next year lived saudi 10 years ago co-worker said expat men women wear shorts public qatar find extremely difficult believe truth thanks kevin houston,Irrelevant
hi one ladies ooops ive put two capital letters post wife sure think wear pantyhose knows hot place ok read online ok wear work true ok wear malls oops capital letters,wife moving qatar october usa texas bit concerned proper dress women told anything fine long sholders covered knees .she upset `` '' cover '' '' 115 degrees outside acceptable '',PerfectMatch
hi one ladies ooops ive put two capital letters post wife sure think wear pantyhose knows hot place ok read online ok wear work true ok wear malls oops capital letters,family new packed lightly stay intent purchase burqa outings respect culture however surprised find many women wearing need long dressed conservatively wearing disrespectful simply tolerated,Irrelevant
hi one ladies ooops ive put two capital letters post wife sure think wear pantyhose knows hot place ok read online ok wear work true ok wear malls oops capital letters,appropriate western men wear thoub shumagg look comfortable especially summer wanted get one ’ want offend anyone anything inappropriate,Irrelevant
hi one ladies ooops ive put two capital letters post wife sure think wear pantyhose knows hot place ok read online ok wear work true ok wear malls oops capital letters,hey dying know insight people see non-local non-arab women wears abaya women like im curious others think u think,Irrelevant
hi one ladies ooops ive put two capital letters post wife sure think wear pantyhose knows hot place ok read online ok wear work true ok wear malls oops capital letters,hi coming doha 14th september wondering temperature winter many degrees cold december january take warm sweaters lool really chilly person cheers,Irrelevant
hi one ladies ooops ive put two capital letters post wife sure think wear pantyhose knows hot place ok read online ok wear work true ok wear malls oops capital letters,worst going happen continue wear hot summer months 25 coming states n't really feel like overhauling summer wardrobe iwas told wear long pants long sleeves go town crazy n't get 110 degrees meeannn.. come comments advice thanks,Relevant
hi one ladies ooops ive put two capital letters post wife sure think wear pantyhose knows hot place ok read online ok wear work true ok wear malls oops capital letters,iam qatar 6 1/2 years many people said happy qatari youngsters attitiude towards women guys starring wives daughters bad sense like experience countries think right yes/no,Irrelevant
hi one ladies ooops ive put two capital letters post wife sure think wear pantyhose knows hot place ok read online ok wear work true ok wear malls oops capital letters,hi husband relocating qatar soon would like know typical business dress code doha non nationals ok men wear short sleeve shirts women assuming conservative better..but popular long skirts qatari `` '' abaya '' '' please advise appreciate '',Relevant
`` `` anyone ever heard school middle east international school anything ..anyone kat '' '' '',anyone ever heard school middle east international school anything ..anyone kat,PerfectMatch
`` `` anyone ever heard school middle east international school anything ..anyone kat '' '' '',hello taking driving test soon anyone taken test give details test know drive home license directly transferable qatari driving license thanks,Irrelevant
`` `` anyone ever heard school middle east international school anything ..anyone kat '' '' '',hi ql frnds long time decided make driving license qatar indian driving license someone explain process best apply license thanks advance,Irrelevant
`` `` anyone ever heard school middle east international school anything ..anyone kat '' '' '',failed driving test 4th times road test.on hand say 4000 q r lossed different opinions different people need help n advice bullshit sysytem driving school treating nationality really bad experience,Irrelevant
`` `` anyone ever heard school middle east international school anything ..anyone kat '' '' '',hi one knows drift car like http //www.driftsession.com/galleries/desktops/drifterxldesktop.jpg,Irrelevant
`` `` anyone ever heard school middle east international school anything ..anyone kat '' '' '',8-yr. old son went asked `` '' mom know israel '' '' said yes asked 'd ask answered said `` '' classmate said israel kills babies lebanon '' '' parent handle know israel big delicate issue middle east '',Irrelevant
`` `` anyone ever heard school middle east international school anything ..anyone kat '' '' '',anybody suggest,Relevant
`` `` anyone ever heard school middle east international school anything ..anyone kat '' '' '',hell asked situation marijuana qatar meaning like laws common etc question got deleted illegal guess dumb want know laws ever asking illegal qatar could risk going jail n't informed '',Irrelevant
`` `` anyone ever heard school middle east international school anything ..anyone kat '' '' '',someone recommend good arabic course preferrably personal lessons group group max 2-3,Irrelevant
`` `` anyone ever heard school middle east international school anything ..anyone kat '' '' '',driving schools drivers looting much paying 1800to learn driver goes 500-700 riyals pass .. nobody question please leave comments u suffered,Irrelevant
`` `` one ur choice 1 4s 2 s3 3 htc 1x '',one ur choice 1 4s 2 s3 3 htc 1x,PerfectMatch
`` `` one ur choice 1 4s 2 s3 3 htc 1x '',new found expecting baby later year best place deliver recommendations doctors,Irrelevant
`` `` one ur choice 1 4s 2 s3 3 htc 1x '',hi interested migrate canada appreciate one recomend good migration consultants qatar advisable process application thanks lot,Irrelevant
`` `` one ur choice 1 4s 2 s3 3 htc 1x '',know said would never post subject lets take break religion sponsors etc one thing would change could could height weight look eye colour attitude etc would like taller would,Irrelevant
`` `` one ur choice 1 4s 2 s3 3 htc 1x '',someone explain photographer time take photo help man ki suk han 58 pushed onto tracks oncoming q train deranged man trying protect fellow straphangers new york post captured tragic photo photographer area cover covering unrelated story,Irrelevant
`` `` one ur choice 1 4s 2 s3 3 htc 1x '',anyone recommend particular iftar/suhoor tent hotels especially good advise ones n't good visitors arriving end ramadan currently considering tents either ritz-carlton intercon comments/suggestions thanks advance,Irrelevant
`` `` one ur choice 1 4s 2 s3 3 htc 1x '',http //www.youtube.com/watch v=vcsclolk9cc money college health care agenda wwe fans many regard dumb americans come indian hospitals like wockardt better service http //www.youtube.com/watch v=mg-9uc7z2tc,Irrelevant
`` `` one ur choice 1 4s 2 s3 3 htc 1x '',reading interesting article rise alpha female anger women seems many women achieved equality feeling partners pulling weight leading anger expressed various ways.. say,Irrelevant
`` `` one ur choice 1 4s 2 s3 3 htc 1x '',another `` '' world record '' '' congratulations qatar ’ per capita water use ‘ highest world ’ country water n't maybe future drink oil expatriates dare consume sixth qatari consumes haram http //www.gulf-times.com/site/topics/article.asp cu_no=2 item_no=493918 version=1 template_id=57 parent_id=56 '',Irrelevant
`` `` one ur choice 1 4s 2 s3 3 htc 1x '',hi doha anyone play know volleyball happening doha either competitive social anyone interested starting something happy try arrange things take little time find way around venues etc,Irrelevant
`` `` musheirib national area existed one small sweet shop called delhi sweets used get good laddoos samosas jalebis since area got demolished year back trace shop dont know moved re-settled anyone knows location exactly please advise thanks '' '' '',musheirib national area existed one small sweet shop called delhi sweets used get good laddoos samosas jalebis since area got demolished year back trace shop dont know moved re-settled anyone knows location exactly please advise thanks,PerfectMatch
`` `` musheirib national area existed one small sweet shop called delhi sweets used get good laddoos samosas jalebis since area got demolished year back trace shop dont know moved re-settled anyone knows location exactly please advise thanks '' '' '',hi new qatar big festival coming..diwali.. anybody advice good indian north indian sweet shop thanks meenu,Relevant
`` `` musheirib national area existed one small sweet shop called delhi sweets used get good laddoos samosas jalebis since area got demolished year back trace shop dont know moved re-settled anyone knows location exactly please advise thanks '' '' '',hi got job offer doha moving jul 10 would guys able help things pick india either available expensive doha carrying set top box direct home television subscription indian channels lots summer clothing wife 2 year daughter anything else pick like toys,Irrelevant
`` `` musheirib national area existed one small sweet shop called delhi sweets used get good laddoos samosas jalebis since area got demolished year back trace shop dont know moved re-settled anyone knows location exactly please advise thanks '' '' '',serves best tea doha mission try every teas shop least,Irrelevant
`` `` musheirib national area existed one small sweet shop called delhi sweets used get good laddoos samosas jalebis since area got demolished year back trace shop dont know moved re-settled anyone knows location exactly please advise thanks '' '' '',da..have great holiday come back soon safe stay away blasts .and dont forget bring us yummy yummy sweets,Irrelevant
`` `` musheirib national area existed one small sweet shop called delhi sweets used get good laddoos samosas jalebis since area got demolished year back trace shop dont know moved re-settled anyone knows location exactly please advise thanks '' '' '',wonder somebody going delhi week short trip delhi coming days,Irrelevant
`` `` musheirib national area existed one small sweet shop called delhi sweets used get good laddoos samosas jalebis since area got demolished year back trace shop dont know moved re-settled anyone knows location exactly please advise thanks '' '' '',visiting golden triangle india delhi-agra jaipur tips okay wear shorts entering temples rail ride safe,Irrelevant
`` `` musheirib national area existed one small sweet shop called delhi sweets used get good laddoos samosas jalebis since area got demolished year back trace shop dont know moved re-settled anyone knows location exactly please advise thanks '' '' '',somebody help ..its best friends wedding next week want send gift shes india somebody please suggest ideas,Irrelevant
`` `` musheirib national area existed one small sweet shop called delhi sweets used get good laddoos samosas jalebis since area got demolished year back trace shop dont know moved re-settled anyone knows location exactly please advise thanks '' '' '',indian extremist kill muslims indian police involve killing always terrorist radical fanatic.they born taliban osama see http //www.youtube.com/watch v=z1dbjwrskle,Irrelevant
`` `` musheirib national area existed one small sweet shop called delhi sweets used get good laddoos samosas jalebis since area got demolished year back trace shop dont know moved re-settled anyone knows location exactly please advise thanks '' '' '',survey carried gulf times shown 41 % feel qatar worst country drive second 23 % egypt third saudi arabia http //www.gulf-times.com/site/topics/article.asp cu_no=2 item_no=304346 version=1 template_id=36 parent_id=16,Irrelevant
`` `` 've following healthy eating plan 3 months far lost 13kg want continue move qatar september anybody know whether following items available 1 muller light yogurts flavoured 2 fry light olive oil frying spray 3 plain fat free quark 4 plain fat free fromage frais 5 hellmans lighter light mayonnaise 6 ryvita crispbread thanks '' '' '','ve following healthy eating plan 3 months far lost 13kg want continue move qatar september anybody know whether following items available 1 muller light yogurts flavoured 2 fry light olive oil frying spray 3 plain fat free quark 4 plain fat free fromage frais 5 hellmans lighter light mayonnaise 6 ryvita crispbread thanks,PerfectMatch
`` `` 've following healthy eating plan 3 months far lost 13kg want continue move qatar september anybody know whether following items available 1 muller light yogurts flavoured 2 fry light olive oil frying spray 3 plain fat free quark 4 plain fat free fromage frais 5 hellmans lighter light mayonnaise 6 ryvita crispbread thanks '' '' '',children recently diagnosed food allergies buy wheat free products milk free products cheese free products,Irrelevant
`` `` 've following healthy eating plan 3 months far lost 13kg want continue move qatar september anybody know whether following items available 1 muller light yogurts flavoured 2 fry light olive oil frying spray 3 plain fat free quark 4 plain fat free fromage frais 5 hellmans lighter light mayonnaise 6 ryvita crispbread thanks '' '' '',sort things find difficult buy ca n't buy qatar,Relevant
`` `` 've following healthy eating plan 3 months far lost 13kg want continue move qatar september anybody know whether following items available 1 muller light yogurts flavoured 2 fry light olive oil frying spray 3 plain fat free quark 4 plain fat free fromage frais 5 hellmans lighter light mayonnaise 6 ryvita crispbread thanks '' '' '',supplements n't get kind shape naturaslly..some days eat supplements chicken fact got done taking daily regimen full restrictions type products hgh,Irrelevant
`` `` 've following healthy eating plan 3 months far lost 13kg want continue move qatar september anybody know whether following items available 1 muller light yogurts flavoured 2 fry light olive oil frying spray 3 plain fat free quark 4 plain fat free fromage frais 5 hellmans lighter light mayonnaise 6 ryvita crispbread thanks '' '' '',items inside doha airport duty free cheaper compared sold inside malls,Irrelevant
`` `` 've following healthy eating plan 3 months far lost 13kg want continue move qatar september anybody know whether following items available 1 muller light yogurts flavoured 2 fry light olive oil frying spray 3 plain fat free quark 4 plain fat free fromage frais 5 hellmans lighter light mayonnaise 6 ryvita crispbread thanks '' '' '',reason behind unfixed prices food items things qatar hard lower salaried class people live high expensive shops price fixing system,Irrelevant
`` `` 've following healthy eating plan 3 months far lost 13kg want continue move qatar september anybody know whether following items available 1 muller light yogurts flavoured 2 fry light olive oil frying spray 3 plain fat free quark 4 plain fat free fromage frais 5 hellmans lighter light mayonnaise 6 ryvita crispbread thanks '' '' '',always wonder indians closed minded within selves deal indian doctor shop indian supermarket etc .unlike community reason somebody clarify,Irrelevant
`` `` 've following healthy eating plan 3 months far lost 13kg want continue move qatar september anybody know whether following items available 1 muller light yogurts flavoured 2 fry light olive oil frying spray 3 plain fat free quark 4 plain fat free fromage frais 5 hellmans lighter light mayonnaise 6 ryvita crispbread thanks '' '' '',friend mine lost dog searched said gone stomach neighbor filipino began enquiring filipino engineer told dog meat extra special meal wedding ceremonies still doubting true,Irrelevant
`` `` 've following healthy eating plan 3 months far lost 13kg want continue move qatar september anybody know whether following items available 1 muller light yogurts flavoured 2 fry light olive oil frying spray 3 plain fat free quark 4 plain fat free fromage frais 5 hellmans lighter light mayonnaise 6 ryvita crispbread thanks '' '' '',guys need guidance knowledge someone flying qatar foods bring uk im thinking packing suitcase number foods sure carry cans packet things also baby able carry foods ie dried milk seems strange question many strange question asked like life mars dont answer one,Irrelevant
`` `` 've following healthy eating plan 3 months far lost 13kg want continue move qatar september anybody know whether following items available 1 muller light yogurts flavoured 2 fry light olive oil frying spray 3 plain fat free quark 4 plain fat free fromage frais 5 hellmans lighter light mayonnaise 6 ryvita crispbread thanks '' '' '',ok go,Irrelevant
u know place learn arabic,someone recommend good arabic course preferrably personal lessons group group max 2-3,PerfectMatch
u know place learn arabic,hi everyone would like study arabic qatar best school adults none arabic citizen barely speak arabic please guide 'll much glad hear 're kind useful advises thanks lot,Relevant
u know place learn arabic,hi anyone know place offers arabic language classes would like join group class make friends well thanks,PerfectMatch
u know place learn arabic,want learn arabic chance living among arabic speaking masses suggestions whats best way weekend office hours arabic teaching institutions,PerfectMatch
u know place learn arabic,thank reccommended fanar building arabic courses ca n't get anybody numbers website anyone contact numbers sent email replied yes lol also website says charge 300qr 3month course heard actually free anybody know anything fanar arabic courses mt,PerfectMatch
u know place learn arabic,really want know arabic fascination almost british curriculum schools doha compulsory indian schools solution non-arabics want children get educated british schools know british schools arabic compulsory getting admission really difficult solution,Irrelevant
u know place learn arabic,best knowledge need learn language country western world want work survive health care workers germany requested learn german french france etc still come requested learn arabic,Relevant
u know place learn arabic,get job 'round arabs need learn english find hard arabic-speaking people teach engineering coz much 'sound english language arabic-speaking technical/college schools get give engineering details arabic format,Irrelevant
u know place learn arabic,qatar people knowing arabic scope dat merely guess..n nowadayz almost every company seeks/prefer people knows speak arabic easy way 2 learn spoken arabic ^_^,PerfectMatch
u know place learn arabic,want learn arabic language anyone knows study please help,PerfectMatch
`` `` hi all.. young baby 2 months old wife resume work middle september looking babycare options babysitting facility available doha '' '' '',hi all.. young baby 2 months old wife resume work middle september looking babycare options babysitting facility available doha,PerfectMatch
`` `` hi all.. young baby 2 months old wife resume work middle september looking babycare options babysitting facility available doha '' '' '',hi couple 8 months baby want move doha n't know nothing possible cost kindergardens babysitter home recomend one option another know possible babysitter common live home us come every day many thank,Relevant
`` `` hi all.. young baby 2 months old wife resume work middle september looking babycare options babysitting facility available doha '' '' '',dear newly arrived doha discovering city way life employ nice lady philippines twice week house cleaning accepted babysit daughter 18 months thursday evening 8 pm hours could tell much pay per hour course also take charge taxi drive home thank help,Relevant
`` `` hi all.. young baby 2 months old wife resume work middle september looking babycare options babysitting facility available doha '' '' '',2 7 month daughter intend enter preschool/kindergarten wo n't get bored home thinking big schools like qis doha school smaller group english main language ideas kindergarten preschools contact numbers thanks regards xtian,PerfectMatch
`` `` hi all.. young baby 2 months old wife resume work middle september looking babycare options babysitting facility available doha '' '' '',koala french-english nursery would like know anybody expereince nursery pls advice.thanks,Relevant
`` `` hi all.. young baby 2 months old wife resume work middle september looking babycare options babysitting facility available doha '' '' '',anyone give names nurseries baby either french english could give contact numbers email website and/ address,PerfectMatch
`` `` hi all.. young baby 2 months old wife resume work middle september looking babycare options babysitting facility available doha '' '' '',moving qatar early 2008 canada someone advise good nurseries around qatar foundation names/contact info would good walking distance thanks help,PerfectMatch
`` `` hi all.. young baby 2 months old wife resume work middle september looking babycare options babysitting facility available doha '' '' '',hi im thinking putting baby busy bees nursery near villagio looking feedback comments anyone knows nursery hard choose one think best child comments thanks >,Relevant
`` `` hi all.. young baby 2 months old wife resume work middle september looking babycare options babysitting facility available doha '' '' '',anyone kids experience star fish nursery school doha considering sending one kids want find nice school nice teachers,Relevant
`` `` hi all.. young baby 2 months old wife resume work middle september looking babycare options babysitting facility available doha '' '' '',got teaching job little angels nursery doha anyone idea,Irrelevant
ill handle expenses tourist visa much would range estimate amount,somebody tell get good job doha american passport holding husband visas bachelor degree speaking 3 languages hard time find good job post cv many website including bayt.com many n't get respond thanks,Irrelevant
ill handle expenses tourist visa much would range estimate amount,anyone ql bought laptop jarir bookstore loan qatar finance company one thing guys think hp laptops 've never bought anything loan bank finance company qatar ideas/suggestions whatsoever highly appreciated,Irrelevant
ill handle expenses tourist visa much would range estimate amount,gold need sell need urgent financial support guide jeweleries qatar buy gold cash heard n't accept one jewelery already rejected buy please advise reality options,Irrelevant
ill handle expenses tourist visa much would range estimate amount,dear need tips advise mba qatar anyone info bearing mind working looking either weekend classes worst case evenings really want online distance learing hold best value best option thinking mba related finance finance admin manager also share univ costs etc ranking university thanks advance regards irf,Irrelevant
ill handle expenses tourist visa much would range estimate amount,hello everyone anybody interested learning sap planning start training sap doha good demand anyone interested pl pm details btw im sap training consultant cheers sapper,Irrelevant
ill handle expenses tourist visa much would range estimate amount,4-year old acer laptop following specs intel celeron 2.0 ghz-m 256 mb ddr sdram 30gb ultra ata/100 hdd 8x dvd-rom using check emails hubby plays pc games sometimes memory runs low laptops upgraded cost lot better buy new one believe lot ql experts advise,Irrelevant
ill handle expenses tourist visa much would range estimate amount,anyone knows companies engage marine real estate jewelry car dealership exchange worth work company,Irrelevant
ill handle expenses tourist visa much would range estimate amount,informed hr department 'secretarial positions must qatarized one confirm please,Irrelevant
ill handle expenses tourist visa much would range estimate amount,expats forum either bought property qatar considered buying rejected - i.e zig zag towers pearl etc trying evaluate whether would good investment think potential risks upsides bought experience process hindsight good decision regards,Irrelevant
ill handle expenses tourist visa much would range estimate amount,hello friends someone give tips apply job online qp website tried past one year failed get interviews pls tell special recipe things take care application online pls help,Irrelevant
`` `` hello everybody got offer computer consultancy company doha offer `` '' '' '' 14 500 qr '' '' '' '' pay accommodation transportation position `` '' '' '' microsoft infrastructure engineer/systems engineer '' '' '' '' working hours `` '' '' '' 8:00 am-1:00 pm 2:00 pm-5:00pm '' '' '' '' days `` '' '' '' sun mon tue wed thur '' '' '' '' 3 years experience offer thanks regards '' '' '',hello everybody got offer computer consultancy company doha offer `` '' 14 500 qr '' '' pay accommodation transportation position `` '' microsoft infrastructure engineer/systems engineer '' '' working hours `` '' 8:00 am-1:00 pm 2:00 pm-5:00pm '' '' days `` '' sun mon tue wed thur '' '' 3 years experience offer thanks regards '',PerfectMatch
`` `` hello everybody got offer computer consultancy company doha offer `` '' '' '' 14 500 qr '' '' '' '' pay accommodation transportation position `` '' '' '' microsoft infrastructure engineer/systems engineer '' '' '' '' working hours `` '' '' '' 8:00 am-1:00 pm 2:00 pm-5:00pm '' '' '' '' days `` '' '' '' sun mon tue wed thur '' '' '' '' 3 years experience offer thanks regards '' '' '',dear offered package 20 000 qr/month qcon qatar construction company wll .can anybody please give feedback regarding reputation company package offered,Irrelevant
`` `` hello everybody got offer computer consultancy company doha offer `` '' '' '' 14 500 qr '' '' '' '' pay accommodation transportation position `` '' '' '' microsoft infrastructure engineer/systems engineer '' '' '' '' working hours `` '' '' '' 8:00 am-1:00 pm 2:00 pm-5:00pm '' '' '' '' days `` '' '' '' sun mon tue wed thur '' '' '' '' 3 years experience offer thanks regards '' '' '',dear friends got teaching job offer doha 4500 riyals free accommodation free air ticket heard low salary especially compared western teachers get possible survive salary heard get indian food 7 riyals meal thanks junaid,Irrelevant
`` `` hello everybody got offer computer consultancy company doha offer `` '' '' '' 14 500 qr '' '' '' '' pay accommodation transportation position `` '' '' '' microsoft infrastructure engineer/systems engineer '' '' '' '' working hours `` '' '' '' 8:00 am-1:00 pm 2:00 pm-5:00pm '' '' '' '' days `` '' '' '' sun mon tue wed thur '' '' '' '' 3 years experience offer thanks regards '' '' '',dear kindly guide got offer 17000qr salary 14000qr accomadation married /9650qr bachelor 2000qr transport allowance offer good experience 10yr. also please suggest much save family two expecting wife indian nationality.leads decent lifestyle lavish one. thanks advance,Relevant
`` `` hello everybody got offer computer consultancy company doha offer `` '' '' '' 14 500 qr '' '' '' '' pay accommodation transportation position `` '' '' '' microsoft infrastructure engineer/systems engineer '' '' '' '' working hours `` '' '' '' 8:00 am-1:00 pm 2:00 pm-5:00pm '' '' '' '' days `` '' '' '' sun mon tue wed thur '' '' '' '' 3 years experience offer thanks regards '' '' '',hi hepatitis b c checked medical test non-medical professionals basically getting conflicting information say hep b c tested everyone applying residence permit others say medical professionals primary school teachers food handlers tested hep b c. please discuss,Irrelevant
`` `` hello everybody got offer computer consultancy company doha offer `` '' '' '' 14 500 qr '' '' '' '' pay accommodation transportation position `` '' '' '' microsoft infrastructure engineer/systems engineer '' '' '' '' working hours `` '' '' '' 8:00 am-1:00 pm 2:00 pm-5:00pm '' '' '' '' days `` '' '' '' sun mon tue wed thur '' '' '' '' 3 years experience offer thanks regards '' '' '',guys looking sunglasses wife brand guys suggest find best price offers going please reply asap,Irrelevant
`` `` hello everybody got offer computer consultancy company doha offer `` '' '' '' 14 500 qr '' '' '' '' pay accommodation transportation position `` '' '' '' microsoft infrastructure engineer/systems engineer '' '' '' '' working hours `` '' '' '' 8:00 am-1:00 pm 2:00 pm-5:00pm '' '' '' '' days `` '' '' '' sun mon tue wed thur '' '' '' '' 3 years experience offer thanks regards '' '' '',hi every one please help put finding business oppurtunities qatar jus let know business qatar lacking find missing gcc countries scope new business new style existing business changes expect current qatar market,Irrelevant
`` `` hello everybody got offer computer consultancy company doha offer `` '' '' '' 14 500 qr '' '' '' '' pay accommodation transportation position `` '' '' '' microsoft infrastructure engineer/systems engineer '' '' '' '' working hours `` '' '' '' 8:00 am-1:00 pm 2:00 pm-5:00pm '' '' '' '' days `` '' '' '' sun mon tue wed thur '' '' '' '' 3 years experience offer thanks regards '' '' '',dear interview qr last week said would get back `` '' soon '' '' - long `` '' soon '' '' qatari context '',Irrelevant
`` `` hello everybody got offer computer consultancy company doha offer `` '' '' '' 14 500 qr '' '' '' '' pay accommodation transportation position `` '' '' '' microsoft infrastructure engineer/systems engineer '' '' '' '' working hours `` '' '' '' 8:00 am-1:00 pm 2:00 pm-5:00pm '' '' '' '' days `` '' '' '' sun mon tue wed thur '' '' '' '' 3 years experience offer thanks regards '' '' '',hi doctors around working hmc resident applied residency training program hmc awaiting reply however wondring would salary expect allownaces offer accommodation married couples kind living allowance give basic salary training hmc guidance appreciated thanks,Irrelevant
`` `` hello everybody got offer computer consultancy company doha offer `` '' '' '' 14 500 qr '' '' '' '' pay accommodation transportation position `` '' '' '' microsoft infrastructure engineer/systems engineer '' '' '' '' working hours `` '' '' '' 8:00 am-1:00 pm 2:00 pm-5:00pm '' '' '' '' days `` '' '' '' sun mon tue wed thur '' '' '' '' 3 years experience offer thanks regards '' '' '',got two difference offers doha qatar 25 000 qr inclusive abu dhabi 25 000.00dhr .an quantity surveyor practising uk offers right one best concerning accommodation cost living thank,Irrelevant
